	id	start_time	end_time	unit	p_strength	b_strength	b_label
0	LJ001-0110	0.0	0.36	even	0.505	0.462	b0
1	LJ001-0110	0.36	0.41	the	0.044	0.0	b0
2	LJ001-0110	0.41	1.1	caslon	1.579	0.493	b0
3	LJ001-0110	1.1	1.57	type	1.256	1.642	b2
4	LJ001-0110	1.91	2.06	when	0.324	0.013	b0
5	LJ001-0110	2.06	2.9	enlarged	1.839	1.392	b2
6	LJ001-0110	3.11	3.51	shows	1.74	0.362	b0
7	LJ001-0110	3.51	3.87	great	0.361	0.055	b0
8	LJ001-0110	3.87	4.72	shortcomings	0.684	0.574	b1
9	LJ001-0110	4.72	4.87	in	0.594	0.0	b0
10	LJ001-0110	4.87	5.12	this	0.117	0.136	b0
11	LJ001-0110	5.12	5.82	respect	0.785	1.0	b1
